OBJECTID,X,Y
671,312720.5,2770181.25
672,312729.9687,2770171.5
673,312734.0625,2770164
674,312740.2813,2770144.75
675,312749.5938,2770091
676,312759.9062,2770025.5
677,312764.4375,2770021.75
678,312775.4688,2770020
679,312796.0938,2770025.5
680,312847.375,2770049.5
681,312959.9688,2770084
682,312989.6249,2770094.5
683,313020.3125,2770102.25
684,313038.1875,2770104
685,313053.5625,2770103.25
686,313069.3125,2770099.5
687,313094.2813,2770092.25
688,313107.6875,2770086.25
689,313113.4999,2770080
690,313122.5312,2770069
691,313127.3437,2770052.75
692,313137.0938,2770017.5
693,313142.3125,2770004.5
694,313145.8438,2769997.75
695,313152.0625,2769993
696,313161.0938,2769989.5
697,313169,2769988
698,313177.2188,2769988.25
699,313185.1251,2769990.25
700,313194.1563,2769995.75
701,313209.5625,2770008
702,313216.1874,2770011.25
703,313225.25,2770012
704,313231.5937,2770011.5
705,313235.4063,2770010
706,313242.4688,2770003.75
707,313270.4375,2769980.75
708,313296.4375,2769962
709,313307.4688,2769955.75
710,313321.5938,2769950.25
711,313341.2188,2769944.25
712,313373.1562,2769940
713,313393.9374,2769936.5
714,313403.8124,2769933.25
715,313414.8437,2769929.25
716,313440.2501,2769914.75
717,313452.5626,2769909
718,313460.7499,2769905.5
719,313474.1562,2769902.5
720,313488.7188,2769898.75
721,313503.9687,2769893.25
722,313509.9063,2769889.5
723,313515.4375,2769883
724,313519.8125,2769880.25
725,313525.3125,2769878.25
726,313535.9063,2769877.5
727,313543.4062,2769875.5
728,313551.5937,2769867.25
729,313579.125,2769826
730,313588.1876,2769811
731,313597.2187,2769801.5
732,313607.9687,2769791.75
733,313620.8125,2769782
734,313674.7812,2769744.25
735,313715.3438,2769712.75
736,313739.625,2769690.75
737,313746.2813,2769686.75
738,313754.4687,2769684.5
739,313771,2769681.75
740,313787.5312,2769680.25
741,313803.6251,2769674.75
742,313825.6562,2769663.75
743,313861.1251,2769641.75
744,313893.3437,2769621.25
745,313905.9063,2769613.25
746,313910.2813,2769611
747,313918.0626,2769609
748,313932.625,2769608.25
749,313954.8125,2769605.5
750,313964.5312,2769602.75
751,313970.4688,2769599.25
752,313981.5,2769590
753,313989,2769584.25
754,314003.9687,2769576.75
755,314018.4999,2769571.75
756,314029.125,2769568.25
757,314039.2812,2769563.5
758,314051.8437,2769552.75
759,314080.6875,2769521.25
760,314086.9062,2769517.75
761,314097.5,2769516.25
762,314120.6563,2769517.5
763,314130.5624,2769517.75
764,314154.1563,2769466
765,314159.2188,2769456
766,314165.8749,2769450.5
767,314174.4999,2769445.5
768,314191,2769436
769,314210.6563,2769427.75
770,314229.1563,2769425
771,314244.5625,2769425
772,314265.0313,2769425
773,314276.7813,2769422.75
774,314307.8438,2769413.25
775,314328.3437,2769404.5
776,314340.3437,2769401.5
777,314349.0938,2769397.5
778,314356.5938,2769392.25
779,314375.375,2769374.25
780,314384.4375,2769365
781,314396.2813,2769356.5
782,314406.0313,2769344.75
783,314413.9376,2769333.75
784,314415.9374,2769322.75
785,314412.8124,2769303.5
786,314408.0313,2769282.25
787,314408.0313,2769273.75
788,314410,2769261.5
789,314415.0937,2769253.25
790,314420.1562,2769247.75
791,314428.0937,2769243.75
792,314441.9374,2769240.25
793,314454.0625,2769240.75
794,314459.1562,2769243
795,314484.7188,2769253.5
796,314518.5,2769277.25
797,314524,2769284
798,314537.8438,2769299.25
